'2010-6-14',5.1486,0.0
'2010-6-15',5.0467,0.0
'2010-6-16',4.9467,0.0
'2010-6-17',4.8488,0.0
'2010-6-18',4.7528,0.0
'2010-6-19',4.6587,0.0
'2010-6-20',5.1018,1.9611
'2010-6-21',4.476,0.0
'2010-6-22',4.3874,0.0
'2010-6-23',4.3005,0.0
'2010-6-24',4.2153,0.0
'2010-6-25',4.1319,0.0
'2010-6-26',4.0519,0.0
'2010-6-27',4.1739,0.0599
'2010-6-28',3.8917,0.0
'2010-6-29',3.8142,0.0
'2010-6-30',3.7418,0.0
'2010-7-1',3.6646,0.0
'2010-7-2',4.2565,0.0029
'2010-7-3',7.626,0.011
'2010-7-4',3.4516,0.0
'2010-7-5',3.3829,0.0
'2010-7-6',3.3159,0.0
'2010-7-7',3.6264,0.0011
'2010-7-8',3.1871,0.0
'2010-7-9',20.9607,0.0595
'2010-7-10',3.068,0.0
'2010-7-11',12.7172,0.0382
'2010-7-12',3.0112,0.0
'2010-7-13',3.0385,0.0
'2010-7-14',3.0736,0.0
'2010-7-15',3.08,0.0
'2010-7-16',3.0588,0.0
'2010-7-17',8.9315,0.0197
'2010-7-18',2.9829,0.0
'2010-7-19',2.9363,0.0
'2010-7-20',2.8836,0.0
'2010-7-21',2.8277,0.0
'2010-7-22',2.7719,0.0
'2010-7-23',2.8308,0.0003
'2010-7-24',2.6636,0.0
'2010-7-25',2.6104,0.0
'2010-7-26',2.5587,0.0
'2010-7-27',2.5081,0.0
'2010-7-28',2.4584,0.0
'2010-7-29',2.4097,0.0
'2010-7-30',2.362,0.0
'2010-7-31',2.3152,0.0
'2010-8-1',2.2694,0.0
'2010-8-2',2.4108,0.0004
'2010-8-3',2.1822,0.0
'2010-8-4',2.1372,0.0
'2010-8-5',2.0949,0.0
'2010-8-6',2.0534,0.0
'2010-8-7',2.0898,0.0002
'2010-8-8',12.0236,0.028
'2010-8-9',1.941,0.0
'2010-8-10',5.6511,0.0095
'2010-8-11',5.0253,0.0054
'2010-8-12',2.5893,0.0
'2010-8-13',6.3439,0.0086
'2010-8-14',4.7737,0.002
'2010-8-15',11.1598,0.019
'2010-8-16',4.8971,0.0
'2010-8-17',5.3828,0.0
'2010-8-18',6.5772,0.002
'2010-8-19',5.9586,0.0
'2010-8-20',6.0734,0.0
'2010-8-21',6.102,0.0
'2010-8-22',6.0657,0.0
'2010-8-23',5.9889,0.0
'2010-8-24',19.0007,0.0657
'2010-8-25',37.8849,0.1595
'2010-8-26',42.118,0.1631
'2010-8-27',6.0295,0.0
'2010-8-28',6.252,0.0
'2010-8-29',7.3511,0.0021
'2010-8-30',6.6114,0.0
'2010-8-31',8.6963,0.0046
'2010-9-1',7.0268,0.0
'2010-9-2',21.3619,0.0493
'2010-9-3',7.7987,0.0
'2010-9-4',8.1385,0.0
'2010-9-5',16.3295,0.0237
'2010-9-6',23.1998,0.0444
'2010-9-7',9.598,0.0
'2010-9-8',10.1093,0.0
'2010-9-9',10.4504,0.0
'2010-9-10',22.0882,0.0375
'2010-9-11',56.2188,0.2207
'2010-9-12',89.9386,0.4401
'2010-9-13',15.2247,0.0044
'2010-9-14',13.1625,0.0
'2010-9-15',13.6473,0.0
'2010-9-16',13.878,0.0
'2010-9-17',13.8928,0.0
'2010-9-18',13.7664,0.0
'2010-9-19',16.9816,0.0092
'2010-9-20',13.6622,0.0001
'2010-9-21',64.6848,0.2733
'2010-9-22',16.4946,0.0041
'2010-9-23',14.3673,0.0
'2010-9-24',14.6096,0.0
'2010-9-25',14.6956,0.0
'2010-9-26',14.6285,0.0
'2010-9-27',14.4579,0.0
'2010-9-28',14.2285,0.0
'2010-9-29',13.9719,0.0
'2010-9-30',13.7055,0.0
'2010-10-1',13.4381,0.0
'2010-10-2',14.0884,0.0024
'2010-10-3',13.0883,0.0001
'2010-10-4',12.8364,0.0
'2010-10-5',12.7016,0.0
'2010-10-6',12.5464,0.0
'2010-10-7',12.3592,0.0
'2010-10-8',12.2144,0.0001
'2010-10-9',11.9256,0.0
'2010-10-10',11.6943,0.0
'2010-10-11',11.4657,0.0
'2010-10-12',11.2398,0.0
'2010-10-13',11.0177,0.0
'2010-10-14',10.7997,0.0
'2010-10-15',10.5859,0.0
'2010-10-16',10.3763,0.0
'2010-10-17',10.1708,0.0
'2010-10-18',9.9694,0.0
'2010-10-19',9.772,0.0
'2010-10-20',9.5785,0.0
'2010-10-21',10.2087,0.0022
'2010-10-22',9.2048,0.0
'2010-10-23',9.0207,0.0
'2010-10-24',8.8421,0.0
'2010-10-25',8.667,0.0
'2010-10-26',8.4954,0.0
'2010-10-27',8.3272,0.0
'2010-10-28',8.1623,0.0
'2010-10-29',8.0006,0.0
'2010-10-30',7.8422,0.0
'2010-10-31',7.6869,0.0
'2010-11-1',7.5347,0.0
'2010-11-2',7.3855,0.0
'2010-11-3',7.2393,0.0
'2010-11-4',7.0959,0.0
'2010-11-5',6.9554,0.0
'2010-11-6',6.8177,0.0
'2010-11-7',6.6827,0.0
'2010-11-8',6.5554,0.0
'2010-11-9',6.4207,0.0
'2010-11-10',6.2935,0.0
'2010-11-11',9.9309,0.0101
'2010-11-12',6.3322,0.0002
'2010-11-13',6.0387,0.0
'2010-11-14',5.9898,0.0
'2010-11-15',5.9248,0.0
'2010-11-16',5.84,0.0
'2010-11-17',5.7414,0.0
'2010-11-18',5.6357,0.0
'2010-11-19',5.5276,0.0
'2010-11-20',5.4196,0.0
'2010-11-21',5.3128,0.0
'2010-11-22',5.2078,0.0
'2010-11-23',5.1047,0.0
'2010-11-24',5.0037,0.0
'2010-11-25',4.9046,0.0
'2010-11-26',4.8075,0.0
'2010-11-27',4.7123,0.0
'2010-11-28',4.619,0.0
'2010-11-29',4.5275,0.0
'2010-11-30',4.4379,0.0
'2010-12-1',4.35,0.0
'2010-12-2',4.2639,0.0
'2010-12-3',4.1794,0.0
'2010-12-4',4.0967,0.0
'2010-12-5',4.0156,0.0
'2010-12-6',3.936,0.0
'2010-12-7',3.8581,0.0
'2010-12-8',3.7817,0.0
'2010-12-9',3.7068,0.0
'2010-12-10',3.6334,0.0
'2010-12-11',3.5615,0.0
'2010-12-12',3.491,0.0
'2010-12-13',3.4218,0.0
'2010-12-14',3.3541,0.0
'2010-12-15',3.2877,0.0
'2010-12-16',3.2226,0.0
'2010-12-17',3.1588,0.0
'2010-12-18',3.0962,0.0
'2010-12-19',3.0349,0.0
'2010-12-20',2.9748,0.0
'2010-12-21',2.9159,0.0
'2010-12-22',2.8582,0.0
'2010-12-23',2.8016,0.0
'2010-12-24',2.7461,0.0
'2010-12-25',2.6917,0.0
'2010-12-26',2.6384,0.0
'2010-12-27',2.5862,0.0
'2010-12-28',2.535,0.0
'2010-12-29',2.4848,0.0
'2010-12-30',2.4356,0.0
'2010-12-31',2.3873,0.0
'2011-1-1',2.3401,0.0
'2011-1-2',2.2937,0.0
'2011-1-3',2.2483,0.0
'2011-1-4',2.2038,0.0
'2011-1-5',2.1601,0.0
'2011-1-6',2.1174,0.0
'2011-1-7',2.0754,0.0
'2011-1-8',2.0344,0.0
'2011-1-9',1.9941,0.0
'2011-1-10',1.9546,0.0
'2011-1-11',1.9159,0.0
'2011-1-12',1.8779,0.0
'2011-1-13',1.8408,0.0
'2011-1-14',1.8043,0.0
'2011-1-15',1.7686,0.0
'2011-1-16',1.7336,0.0
'2011-1-17',1.6992,0.0
'2011-1-18',1.6656,0.0
'2011-1-19',1.6326,0.0
'2011-1-20',1.6003,0.0
'2011-1-21',1.5686,0.0
'2011-1-22',1.5375,0.0
'2011-1-23',1.5071,0.0
'2011-1-24',1.4772,0.0
'2011-1-25',1.448,0.0
'2011-1-26',1.4193,0.0
'2011-1-27',1.3912,0.0
'2011-1-28',1.3637,0.0
'2011-1-29',1.3367,0.0
'2011-1-30',1.3102,0.0
'2011-1-31',1.2843,0.0
'2011-2-1',1.2588,0.0
'2011-2-2',1.2339,0.0
'2011-2-3',1.2095,0.0
'2011-2-4',1.1855,0.0
'2011-2-5',1.162,0.0
'2011-2-6',1.139,0.0
'2011-2-7',1.1165,0.0
'2011-2-8',1.0944,0.0
'2011-2-9',1.0727,0.0
'2011-2-10',1.0515,0.0
'2011-2-11',1.0306,0.0
'2011-2-12',1.0102,0.0
'2011-2-13',0.9902,0.0
'2011-2-14',0.9706,0.0
'2011-2-15',0.9514,0.0
'2011-2-16',0.9326,0.0
'2011-2-17',0.9141,0.0
'2011-2-18',0.896,0.0
'2011-2-19',0.8783,0.0
'2011-2-20',0.8609,0.0
'2011-2-21',0.8438,0.0
'2011-2-22',0.8271,0.0
'2011-2-23',7.5087,67.6331
'2011-2-24',8.0045,0.5983
'2011-2-25',0.7838,0.0
'2011-2-26',0.7651,0.0
'2011-2-27',0.7489,0.0
'2011-2-28',0.7338,0.0
'2011-3-1',0.7192,0.0
'2011-3-2',0.7048,0.0
'2011-3-3',0.6909,0.0
'2011-3-4',0.6772,0.0
'2011-3-5',0.6638,0.0
'2011-3-6',0.6506,0.0
'2011-3-7',0.6377,0.0
'2011-3-8',0.6251,0.0
'2011-3-9',0.6127,0.0
'2011-3-10',0.6006,0.0
'2011-3-11',0.5887,0.0
'2011-3-12',9.7182,0.0915
'2011-3-13',26.9391,0.1081
'2011-3-14',1.568,0.0
'2011-3-15',2.1282,0.0
'2011-3-16',2.5954,0.0
'2011-3-17',2.9114,0.0
'2011-3-18',5.6879,0.0042
'2011-3-19',3.3513,0.0
'2011-3-20',7.5832,0.0127
'2011-3-21',3.8299,0.0
'2011-3-22',4.0503,0.0
'2011-3-23',4.2051,0.0
'2011-3-24',4.2741,0.0
'2011-3-25',4.2752,0.0
'2011-3-26',4.2337,0.0
'2011-3-27',4.1698,0.0
'2011-3-28',4.0957,0.0
'2011-3-29',4.018,0.0
'2011-3-30',3.9398,0.0
'2011-3-31',3.8623,0.0
'2011-4-1',3.786,0.0
'2011-4-2',3.7111,0.0
'2011-4-3',3.6377,0.0
'2011-4-4',3.5656,0.0
'2011-4-5',3.495,0.0
'2011-4-6',3.4258,0.0
'2011-4-7',3.3972,0.0001
'2011-4-8',3.2915,0.0
'2011-4-9',3.2263,0.0
'2011-4-10',3.1624,0.0
'2011-4-11',3.0998,0.0
'2011-4-12',3.0384,0.0
'2011-4-13',2.9783,0.0
'2011-4-14',2.9193,0.0
'2011-4-15',2.8615,0.0
'2011-4-16',2.8048,0.0
'2011-4-17',2.7493,0.0
'2011-4-18',7.5616,0.0143
'2011-4-19',3.5829,0.002
'2011-4-20',2.5931,0.0
'2011-4-21',2.5379,0.0
'2011-4-22',10.7955,0.0299
'2011-4-23',2.6079,0.0
'2011-4-24',2.6828,0.0
'2011-4-25',2.7386,0.0
'2011-4-26',4.2921,0.0055
'2011-4-27',4.4631,0.0033
'2011-4-28',3.2122,0.0001
'2011-4-29',3.4374,0.0
'2011-4-30',61.9717,0.2836
'2011-5-1',5.1625,0.0027
'2011-5-2',5.2422,0.0
'2011-5-3',5.7425,0.0
'2011-5-4',6.0266,0.0
'2011-5-5',6.1314,0.0
'2011-5-6',6.1222,0.0
'2011-5-7',6.055,0.0
'2011-5-8',5.954,0.0
'2011-5-9',10.1224,0.0124
'2011-5-10',19.6286,9.7594
'2011-5-11',43.0771,0.3495
'2011-5-12',8.2707,0.0278
'2011-5-13',7.5873,0.0
'2011-5-14',8.0102,0.0
'2011-5-15',8.2248,0.0
'2011-5-16',8.269,0.0
'2011-5-17',8.2072,0.0
'2011-5-18',8.0905,0.0
'2011-5-19',7.9494,0.0
'2011-5-20',7.8023,0.0
'2011-5-21',10.3092,0.0065
'2011-5-22',7.5018,0.0
'2011-5-23',7.3494,0.0
'2011-5-24',7.204,0.0
'2011-5-25',7.0614,0.0
'2011-5-26',6.9215,0.0
'2011-5-27',6.7845,0.0
'2011-5-28',6.6502,0.0
'2011-5-29',6.5185,0.0
'2011-5-30',6.3894,0.0
'2011-5-31',6.2648,0.0
'2011-6-1',14.5693,0.0256
'2011-6-2',6.0211,0.0
'2011-6-3',5.8982,0.0
'2011-6-4',5.7814,0.0
'2011-6-5',5.6669,0.0
'2011-6-6',5.5547,0.0
'2011-6-7',5.4447,0.0
'2011-6-8',5.3369,0.0
'2011-6-9',5.2312,0.0
'2011-6-10',5.1276,0.0
'2011-6-11',5.0261,0.0
'2011-6-12',4.9266,0.0
'2011-6-13',4.829,0.0
'2011-6-14',4.7334,0.0
'2011-6-15',4.6397,0.0
'2011-6-16',4.5478,0.0
'2011-6-17',4.4577,0.0
'2011-6-18',4.3695,0.0
'2011-6-19',4.2829,0.0
'2011-6-20',4.1981,0.0
'2011-6-21',4.115,0.0
'2011-6-22',4.0335,0.0
'2011-6-23',22.8777,13.3894
'2011-6-24',126.8497,1.6157
'2011-6-25',40.141,2.4258
'2011-6-26',69.326,0.7293
'2011-6-27',4.4672,0.0
'2011-6-28',4.9979,0.0
'2011-6-29',30.3216,0.0886
'2011-6-30',30.1596,0.0941
'2011-7-1',7.2685,0.0
'2011-7-2',7.8138,0.0
'2011-7-3',95.4276,0.4602
'2011-7-4',8.864,0.0
'2011-7-5',9.2781,0.0
'2011-7-6',9.5428,0.0
'2011-7-7',24.4426,0.0456
'2011-7-8',32.8466,0.079
'2011-7-9',41.4495,0.1316
'2011-7-10',18.7698,0.0189
'2011-7-11',19.0923,0.0181
'2011-7-12',24.9835,0.035
